id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emojis,emoji_sentiment
7461105266308940567,2025-01-18 04:26:34,"Trump schütze unsere Kinder und Familien
Last uns die Brandmauer anzünden.
🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱
Wir sind das Volk,,,,,,,,
💙💙💙💙💙💙💙💙💙💙💙💙",0,0,7459707640340286742,7459707640340286742,neutral,"['🧱', '🧱', '🧱', '🧱', '🧱', '🧱', '🧱', '🧱', '🧱', '🧱', '🧱', '🧱', '🧱', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']",1.0
7460134757838488322,2025-01-15 13:33:39,Wer CDU wählt bekommt nach der Wahl die Grünen und SPD Freihaus dazu 😢😓😢😓😢,0,0,7459707640340286742,7459707640340286742,neutral,"['😢', '😓', '😢', '😓', '😢']",1.0
7459870847055758102,2025-01-14 20:29:15,Geiler Spot🖤,0,0,7459707640340286742,7459707640340286742,positive,['🖤'],1.0
7459775267499000598,2025-01-14 14:18:23,🖤🖤,0,0,7459707640340286742,7459707640340286742,negative,"['🖤', '🖤']",1.0
7459763822518453014,2025-01-14 13:33:59,"Wie kann ein Land sowas aufgeben, weil es anderen nicht passt!!!!!!!🤦‍♀️",0,0,7459707640340286742,7459707640340286742,neutral,['🤦\u200d♀️'],111.0
7459753765731975958,2025-01-14 12:55:16,Profilbild gesehen direkt gefolg🤙,0,0,7459707640340286742,7459707640340286742,negative,['🤙'],111.0
7459749692336374551,2025-01-14 12:39:07,Weder die Altparteien noch die AfD können ein Land führen.,0,2,7459707640340286742,7459707640340286742,neutral,[],111.0
7459737152692781847,2025-01-14 11:50:34,"Ihr wollt mit den Grünen zusammenarbeiten, also ist die CDU/CSU nicht wählbar.",0,0,7459707640340286742,7459707640340286742,negative,[],1.0
7459728333263536918,2025-01-14 11:16:42,ich weiss nicht ob man Überhaupt in den Altparteien versteht was Demokratie oder Diktatur ist. nur blau 💙💙💙💙💙💙💙💙💙,0,1,7459707640340286742,7459707640340286742,neutral,"['💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']",1.0
7459712304234808086,2025-01-14 10:14:16,🇩🇪🫸🏻🖤💚❤️,0,0,7459707640340286742,7459707640340286742,negative,"['🇩🇪', '\U0001faf8🏻', '🖤', '💚', '❤️']",1.0
7459710206793745174,2025-01-14 10:06:19,so wird das nix auf tictoc und außerdem sind wir fleißig. mach ich nicht mit,0,0,7459707640340286742,7459707640340286742,negative,[],1.0
